journalId,journalTitle,journalAuthors,citedJournalId,citedJournalTitle,citedJournalAuthors
"267de8b465689ac2e0f4a5b73c15a2922379e70c","A Coding Theoretic Approach for Evaluating Accumulate Distribution on Minimum Cut Capacity of Weighted Random Graphs","Tadashi Wadayama,Yuki Fujii","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4ba552d40c9688d8551e2e9e3f4a17f2e7e6d955","Hybrid Decoding of Finite Geometry LDPC Codes","Guangwen Li,Dashe Li,Yuling Wang,Wenyan Sun","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"a63fe3ae142473d9dcc169fc50cf9c38b2c9c260","A Novel Architecture for Scalable, High Throughput, Multi-standard LDPC Decoder","Muhammad Awais,Ashwani Singh,Emmanuel Boutillon,Guido Masera","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"255e32b143c68898d9597a5aac1fc2089e23542d","A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and Correcting","Yingxian Zhang,Xiaofei Pan,Kegang Pan,Zhan Ye,Chao Gong","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"ac0faaf251eb378f52bc00b39cf8304f6b654b25","Matrix Algebra and Error-correcting Codes","Aaron Fenyes","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"101739b051024d4c58193fcbe6e4b386f734583f","Enhancing Binary Images of Non-Binary LDPC Codes","Aman Bhatia,Aravind R. Iyengar,Paul H. Siegel","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"238b813d5a466da01c013e1d1d054dce9019ca8a","Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels","Jilei Hou,Paul H. Siegel,Laurence B. Milstein","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5d965dac3a70eacbb8e6044504715be78bf6b789","Sparse Binary Matrices of LDPC Codes for Compressed Sensing","Weizhi Lu,Kidiyo Kpalma,Joseph Ronsin","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"1e2b13561876e0b0e25876fd6479c1b4c2f49d25","Variable-rate Coding with Feedback for Universal Communication Systems *","Shriram Sarvotham,Dror Baron,Richard G Baraniuk","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4461ee0547c2ca7abb1e4f24f2c42fbf655b8ece","Dynamic Power Management for the Iterative Decoding of Turbo Codes","Erick Amador,Raymond Knopp,Renaud Pacalet,Vincent Rezard","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"237817a8c8e669123942e768b7929cfa422c1a2e","Exploiting the Error-correcting Capabilities of Low Density Parity Check Codes in Distributed Video Coding Using Optical Flow","Lars Lau Rak??t,Jacob S?ÅCgaard,Matteo Salmistraro,Huynh Van Luong,S?ÅCren Forchhammer","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"8910250a806d7f20e75e2bb69c8a5ebc40aa8205","On the Capacity of Data-dependent Autoregressive Noise Channels *","Shaohua Yang,Aleksandar Kav??i?ÅLc","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"baf6b497875d8d487d333bb9f7ea4c5694096192","Adaptive MAP Detection via the EM Algorithm for LDPC-Coded MIMO-OFDM Mobile Communications","Tsuyoshi Kashima,Kazuhiko Fukawa,Hiroshi Suzuki","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"8c781eacedd4bbdcdf18fade63ed7f63687604fa","A permutation decomposition based algorithm for the design of prunable interleavers for parallel turbo decoder architectures","Libero Dinoi,Alberto Tarable,Sergio Benedetto","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"138db82763c4b39d52a484f4a445d2cfedda0a12","Probabilistic Inference in Graphical Models","Michael I. Jordan,Yair Weiss","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4f4adadb36740f40ccefdb50ee2513216e4e0116","Development and Verification of Iterative Decoder for LDPC-RS Product Codes","K S Gurumurthy","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"c4798fdce54ae2d98306c733e83ee3d1a3cd3feb","Multi-non-binary turbo codes","Horia Balta,Catherine Douillard,Radu Lucaciu","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"3d856a00bd34ca9a4fc278f5441268d0ed628f85","Efficient decoder design for high-throughput LDPC decoding","Zhiqiang Cui,Zhongfeng Wang,Xinmiao Zhang,Qingwei Jia","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"2831aea363da8bc1fee747a9cc65f0d50ef17c14","On Coset Leader Graphs of LDPC codes","Eran Iceland,Alex Samorodnitsky","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"0698e451ea91ea5df2e9c9c096d16b729d8e1a6c","Spinal codes","Jonathan Perry,Peter Iannucci,Kermin Fleming,Hari Balakrishnan,Devavrat Shah","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"38a565435b154e8d6d18ff8318a0b7adc8b9172e","An Ldpc Decoding Algorithm Utilizing Early Decisions","Anton Blad,Oscar Gustafsson,Lars Wanhammar","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"d0998c0062b868f7900c5a70dd58f6db503d9bed","Quasi Cyclic LDPC Codes Based on Finite Set Systems","Mohammad Gholami,Mehdi Samadieh","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4597419a52241c4dc2853f001aef30e5f5add401","Generalized Union Bound for Space-Time Codes","Cong Ling","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"1d2271b6b163399303fcc7b1dc714bdc0b571d02","Multi-user Detection Schemes for TH PPM UWB System using LDPC Codes","M A Jayasheela,Rajeswari","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"aa585218b929dc9bfd4433f06dd114737c76b7fe","Syndrome Source Coding for Lossless Data Compression Based on Linear Block Codes","Xiaoyan Wu","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"eed3f554de512c32e1d9d2743648668ec5d008f2","A more accurate one-dimensional analysis and design of irregular LDPC codes","Masoud Ardakani,Frank R. Kschischang","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"476453e9e5cf1ab0938506b07e4fc5ff01250b59","Opportunistic Error Correction for MIMO-OFDM: From Theory to Practice","Xiaoying Shao,Cornelis H. Slump","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5483ab5506c6e2671f1666171d42ebb43fa30faf","A General Method for Finding Low Error Rates of LDPC Codes","Chad A. Cole,Stephen G. Wilson,Eric K. Hall,Thomas R. Giallorenzi","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"fdd8d25cafe06bf70ca444c4dc75e02cbec4b893","Convergence of Weighted Min-Sum Decoding Via Dynamic Programming on Trees","Yung-Yih Jian,Henry D. Pfister","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4d6ab4839468fd2cb61a26d85a2fda7823677007","Physics and complexity","David Sherrington","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
